University of Warwick | Leamington | Sydenham,,,,,,,,,,,,,,,,,,,,,,,
Mondays to Fridays ,,Col ,Chol ,,,Col ,Chol ,,,,,,,Col ,,Col,,,,,,,
Coventry Sainsbury's Stop AB ,1535,1555,1615,1635,1655,1715,1735,1755,1815,,1855,1915,,,,,,,,,,,
[BREAK]
University of Warwick | Leamington,,,,,,,,,,,,,,,,,,,,,,,
Mondays to Fridays,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Col ,Col,,,,
WMG Academy ,,,,,,,,,,,,,,,,,,1818,1848,,,,
University of Warwick Interchange (UW1) ,752,824,850,928,1000,1040,1110,1140,1210,1240,1513,1543,1613,1649,1718,1743,1812,,,,,,
University of Warwick The Gatehouse  (UR1) ,755,827,853,931,1003,1043,1113,1143,1213,1243,1516,1546,1616,1652,1721,1746,1815,1822,1852,,,,
University of Warwick Humanities (UR3) ,757,829,855,933,1005,1045,1115,1145,1215,1245,1518,1548,1618,1654,1723,1748,1817,1824,1854,,,,
University of Warwick Interchange UW2 ,801,833,859,937,1009,1049,1119,1149,1219,1249,1522,1552,1622,1658,1727,1752,1821,1828,1858,,,,
Leamington Upper Parade Stand ,822,854,920,958,1030,1110,1140,1210,1240,1310,1543,1613,1643,1719,1748,1813,1842,1849,1919,,,,
Leamington Parish Church ,826,858,924,1002,1034,1114,1144,1214,1244,1314,1547,1617,1647,1723,1752,1817,1846,1853,1923,,,,
Leamington opp Kelseys Bar ,829,901,927,1005,1037,1117,1147,1217,1247,1317,1550,1620,1650,1726,1755,1820,1849,,,,,,
[BREAK]
Leamington  |  University of Warwick,,,,,,,,,,,,,,,,,,,,,,,
Mondays to Fridays,,,,,,,,,,,,,,,,,,,,,,,
,,Chol,,,,,,,,,,,,,,,,,,,,,
Leamington opp Kelseys Bar ,720,752,818,856,928,1008,1038,1108,1138,1208,1601,1631,1658,1728,1759,1824,1850,,,,,,
Leamingtonn Opp Parish Church ,722,754,820,858,930,1010,1040,1110,1140,1210,1603,1633,1700,1730,1801,1826,1852,,,,,,
Leamington Upper Parade Stand ,727,759,825,903,935,1015,1045,1115,1145,1215,1608,1638,1705,1735,1806,1831,1857,,,,,,
University of Warwick Interchange (UW1) ,752,824,850,928,1000,1040,1110,1140,1210,1240,1649,1718,1743,1812,1841,1906,1932,,,,,,
University of Warwick The Gatehouse  (UR1) ,755,827,853,931,1003,1043,1113,1143,1213,1243,1652,1721,1746,1815,,,,,,,,,
University of Warwick Humanities (UR3) ,757,829,855,933,1005,1045,1115,1145,1215,1245,1654,1723,1748,1817,,,,,,,,,
University of Warwick Interchange UW2 ,801,833,859,937,1009,1049,1119,1149,1219,1249,1658,1727,1752,1821,,,,,,,,,
WMG Academy,,,,,,,,,,,,,,,,,,,,,,,
